file	id	SessionDate	TrialList	CorrectResp1	CorrectResp2	CorrectResp3	FaceCenter	FaceLeft	FaceRight	Fixation1	Fixation2	Fixation3	Fixation4	TestCenter	TestLeft	TestRight	TrialList	TestCenter.ACC	TestLeft.ACC	TestRight.ACC	TestCenter.CRESP	TestLeft.CRESP	TestRight.CRESP	TrialList.Cycle	Fixation1.OffsetTime	Fixation2.OffsetTime	Fixation3.OffsetTime	Fixation4.OffsetTime	MemorizeCenter.OffsetTime	MemorizeLeft.OffsetTime	MemorizeRight.OffsetTime	TestCenter.OffsetTime	TestLeft.OffsetTime	TestRight.OffsetTime	Fixation1.OnsetTime	Fixation2.OnsetTime	Fixation3.OnsetTime	Fixation4.OnsetTime	MemorizeCenter.OnsetTime	MemorizeLeft.OnsetTime	MemorizeRight.OnsetTime	TestCenter.OnsetTime	TestLeft.OnsetTime	TestRight.OnsetTime	TestCenter.RESP	TestRight.RESP	TestCenter.RT	TestLeft.RT	TestRight.RT
1/102/AUS_CMFT-102-1.txt	102	NA	2	3	4	4	._LearnFA011	LearnLA011	._LearnRA011	1500	7500	6000	4500	._LearnFA011_T3	._LearnLA011_T2	LearnRA011_T3	2	1	1	1	4	3	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	4	2826	2179	2941
1/102/AUS_CMFT-102-1.txt	102	NA	3	4	2	2	._LearnFA022	LearnLA022	LearnRA022	7500	4500	7500	7500	._LearnFA022_T1	LearnLA022_T3	._LearnRA022_T1	3	1	1	NA	2	4	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	4	2102	1811	1951
1/102/AUS_CMFT-102-1.txt	102	NA	4	3	3	2	._LearnFA040	LearnLA040	._LearnRA040	7500	4500	1500	7500	._LearnFA040_T2	LearnLA040_T2	LearnRA040_T1	4	1	1	NA	3	3	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	1825	2605	NA
1/102/AUS_CMFT-102-1.txt	102	NA	5	4	2	4	._LearnFA049	LearnLA049	LearnRA049	1500	7500	6000	1500	._LearnFA049_T1	._LearnLA049_T3	._LearnRA049_T3	5	1	1	1	2	4	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	4	2209	1955	2733
1/102/AUS_CMFT-102-1.txt	102	NA	6	2	4	2	LearnFA076	LearnLA076	LearnRA076	7500	7500	1500	4500	LearnFA076_T3	LearnLA076_T1	LearnRA076_T1	6	1	1	1	4	2	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	2	2399	1898	2090
1/103/AUS_CMFT-103-1.txt	103	05-04-2011	1	2	4	4	._LearnFA004	LearnLA004	LearnRA004	15000	7500	3000	1500	._LearnFA004_T3	._LearnLA004_T1	LearnRA004_T3	1	1	1	1	4	2	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	4	4585	3591	2152
1/103/AUS_CMFT-103-1.txt	103	NA	2	3	4	4	._LearnFA011	LearnLA011	._LearnRA011	1500	7500	6000	4500	._LearnFA011_T3	._LearnLA011_T2	LearnRA011_T3	2	1	1	1	4	3	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	4	3097	3095	3026
1/103/AUS_CMFT-103-1.txt	103	NA	3	4	2	2	._LearnFA022	LearnLA022	LearnRA022	7500	4500	7500	7500	._LearnFA022_T1	LearnLA022_T3	._LearnRA022_T1	3	1	1	NA	2	4	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	2756	1953	NA
1/103/AUS_CMFT-103-1.txt	103	NA	4	3	3	2	._LearnFA040	LearnLA040	._LearnRA040	7500	4500	1500	7500	._LearnFA040_T2	LearnLA040_T2	LearnRA040_T1	4	1	1	1	3	3	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	2	3719	3577	3237
1/103/AUS_CMFT-103-1.txt	103	NA	5	4	2	4	._LearnFA049	LearnLA049	LearnRA049	1500	7500	6000	1500	._LearnFA049_T1	._LearnLA049_T3	._LearnRA049_T3	5	1	1	1	2	4	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	4	1774	2433	2483
1/103/AUS_CMFT-103-1.txt	103	NA	6	2	4	2	LearnFA076	LearnLA076	LearnRA076	7500	7500	1500	4500	LearnFA076_T3	LearnLA076_T1	LearnRA076_T1	6	NA	1	1	4	2	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	2440	2244
1/104/AUS_CMFT-104-1.txt	104	05-04-2011	1	2	4	4	._LearnFA004	LearnLA004	LearnRA004	15000	7500	3000	1500	._LearnFA004_T3	._LearnLA004_T1	LearnRA004_T3	1	1	1	1	4	2	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	4	1059	1295	1183
1/104/AUS_CMFT-104-1.txt	104	NA	2	3	4	4	._LearnFA011	LearnLA011	._LearnRA011	1500	7500	6000	4500	._LearnFA011_T3	._LearnLA011_T2	LearnRA011_T3	2	NA	1	1	4	3	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	4	2046	2047	1916
1/104/AUS_CMFT-104-1.txt	104	NA	3	4	2	2	._LearnFA022	LearnLA022	LearnRA022	7500	4500	7500	7500	._LearnFA022_T1	LearnLA022_T3	._LearnRA022_T1	3	1	NA	1	2	4	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2718	2549	3017
1/104/AUS_CMFT-104-1.txt	104	NA	4	3	3	2	._LearnFA040	LearnLA040	._LearnRA040	7500	4500	1500	7500	._LearnFA040_T2	LearnLA040_T2	LearnRA040_T1	4	1	1	1	3	3	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	2	892	1294	1424
1/104/AUS_CMFT-104-1.txt	104	NA	5	4	2	4	._LearnFA049	LearnLA049	LearnRA049	1500	7500	6000	1500	._LearnFA049_T1	._LearnLA049_T3	._LearnRA049_T3	5	NA	1	NA	2	4	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	3	2200	1835	2553
1/104/AUS_CMFT-104-1.txt	104	NA	6	2	4	2	LearnFA076	LearnLA076	LearnRA076	7500	7500	1500	4500	LearnFA076_T3	LearnLA076_T1	LearnRA076_T1	6	1	NA	1	4	2	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	2	1963	4950	3946
1/105/AUS_CMFT-105-1.txt	105	06-29-2011	1	2	4	4	._LearnFA004	LearnLA004	LearnRA004	15000	7500	3000	1500	._LearnFA004_T3	._LearnLA004_T1	LearnRA004_T3	1	1	1	1	4	2	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	4	1873	2883	2305
