file	id	SessionDate	TrialList	CorrectResp1	CorrectResp2	CorrectResp3	FaceCenter	FaceLeft	FaceRight	Fixation1	Fixation2	Fixation3	Fixation4	TestCenter	TestLeft	TestRight	TrialList	TestCenter.ACC	TestLeft.ACC	TestRight.ACC	TestCenter.CRESP	TestLeft.CRESP	TestRight.CRESP	TrialList.Cycle	Fixation1.OffsetTime	Fixation2.OffsetTime	Fixation3.OffsetTime	Fixation4.OffsetTime	MemorizeCenter.OffsetTime	MemorizeLeft.OffsetTime	MemorizeRight.OffsetTime	TestCenter.OffsetTime	TestLeft.OffsetTime	TestRight.OffsetTime	Fixation1.OnsetTime	Fixation2.OnsetTime	Fixation3.OnsetTime	Fixation4.OnsetTime	MemorizeCenter.OnsetTime	MemorizeLeft.OnsetTime	MemorizeRight.OnsetTime	TestCenter.OnsetTime	TestLeft.OnsetTime	TestRight.OnsetTime	TestCenter.RESP	TestRight.RESP	TestCenter.RT	TestLeft.RT	TestRight.RT
1/103/CMFT-103-1.txt	103	NA	4	3	4	2	Matt_front.bmp	Matt_left_cropped.bmp	Matt_right_cropped.bmp	4500	7500	4500	6000	M_2_Iden_Front.bmp	M_1_Iden_L.bmp	M_3_Iden_R.bmp	4	1	1	1	4	3	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	2	1474	2128	1720
1/103/CMFT-103-1.txt	103	NA	5	4	2	4	Nate_front_cropped.bmp	Nate_left_cropped.bmp	Nate_right_cropped.bmp	6000	7500	3000	4500	N_2_Iden_Front.bmp	N_1_Iden_L.bmp	N_3_Iden_R.bmp	5	1	1	1	2	4	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	4	1796	2804	1941
1/103/CMFT-103-1.txt	103	NA	6	2	4	2	Zack_Front_cropped.bmp	Zack_Left_cropped.bmp	Zack_Right_Cropped.bmp	7500	1500	6000	4500	Z_2_Iden_Front.bmp	Z_1_Iden_L.bmp	Z_3_Iden_R.bmp	6	1	1	1	4	2	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	2	3054	2145	2214
1/104/CMFT-104-1.txt	104	05-04-2011	1	3	4	4	Bob_frontal_study.bmp	Bob_left_study.bmp	Bob_right_study.bmp	10500	3000	6000	6000	B2_Identical_Frontal.bmp	B1_Identical_Left.bmp	B3_Identical_Right.bmp	1	1	1	1	4	3	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	4	1247	1134	1228
1/104/CMFT-104-1.txt	104	NA	2	3	4	4	Dan_frontal_study.bmp	Dan_Left_Study.bmp	Dan_Right_Frontal.bmp	7500	3000	1500	7500	D2_Identical_Frontal.bmp	D1_Identical_Left.bmp	D3_Identical_Right.bmp	2	1	1	1	4	3	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	4	1850	1259	1927
1/104/CMFT-104-1.txt	104	NA	3	4	4	2	Jim_front.bmp	Jim_left.bmp	Jim_right.bmp	3000	6000	4500	6000	J_2_Iden_Front.bmp	J_1_Iden_L.bmp	J_3_Iden_R.bmp	3	1	1	1	4	4	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	2	1441	1207	2219
1/104/CMFT-104-1.txt	104	NA	4	3	4	2	Matt_front.bmp	Matt_left_cropped.bmp	Matt_right_cropped.bmp	4500	7500	4500	6000	M_2_Iden_Front.bmp	M_1_Iden_L.bmp	M_3_Iden_R.bmp	4	1	1	1	4	3	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	2	1907	2738	2863
1/104/CMFT-104-1.txt	104	NA	5	4	2	4	Nate_front_cropped.bmp	Nate_left_cropped.bmp	Nate_right_cropped.bmp	6000	7500	3000	4500	N_2_Iden_Front.bmp	N_1_Iden_L.bmp	N_3_Iden_R.bmp	5	1	1	1	2	4	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	4	2983	3123	1744
1/104/CMFT-104-1.txt	104	NA	6	2	4	2	Zack_Front_cropped.bmp	Zack_Left_cropped.bmp	Zack_Right_Cropped.bmp	7500	1500	6000	4500	Z_2_Iden_Front.bmp	Z_1_Iden_L.bmp	Z_3_Iden_R.bmp	6	1	1	1	4	2	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	2	2035	3036	1977
1/105/CMFT-105-1.txt	105	06-29-2011	1	3	4	4	Bob_frontal_study.bmp	Bob_left_study.bmp	Bob_right_study.bmp	10500	3000	6000	6000	B2_Identical_Frontal.bmp	B1_Identical_Left.bmp	B3_Identical_Right.bmp	1	1	1	1	4	3	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	4	2151	1566	1233
