"year","id","task","tasktime","trial","onset","event","FixTime","TestSlide","TestSlide.RT","CorrectResp","TestSlide.ACC"
1,102,"AUS_CMFT_Cond2",2011-10-01 12:28:56,21,233,"TestSlide",7500,"Novel60LA004_T1",3269,2,1
1,102,"AUS_CMFT_Cond2",2011-10-01 12:28:56,22,237.5,"Fix",7500,"Novel30RHSA076_T2",2615,3,1
1,102,"AUS_CMFT_Cond2",2011-10-01 12:28:56,22,245,"TestSlide",7500,"Novel30RHSA076_T2",2615,3,1
1,102,"AUS_CMFT_Cond2",2011-10-01 12:28:56,23,249.5,"Fix",4500,"Novel60RA022_T2",3162,3,0
1,102,"AUS_CMFT_Cond2",2011-10-01 12:28:56,23,254,"TestSlide",4500,"Novel60RA022_T2",3162,3,0
1,102,"AUS_CMFT_Cond2",2011-10-01 12:28:56,24,258.5,"Fix",7500,"Novel30RHSA004_T3",2996,4,0
1,102,"AUS_CMFT_Cond2",2011-10-01 12:28:56,24,266,"TestSlide",7500,"Novel30RHSA004_T3",2996,4,0
1,102,"AUS_CMFT_Cond2",2011-10-01 12:28:56,25,270.5,"Fix",1500,"Novel60RA040_T3",2336,4,0
1,102,"AUS_CMFT_Cond2",2011-10-01 12:28:56,25,272,"TestSlide",1500,"Novel60RA040_T3",2336,4,0
1,102,"AUS_CMFT_Cond2",2011-10-01 12:28:56,26,276.5,"Fix",7500,"Novel30RHSA022_T1",2441,2,0
1,102,"AUS_CMFT_Cond2",2011-10-01 12:28:56,26,284,"TestSlide",7500,"Novel30RHSA022_T1",2441,2,0
1,102,"AUS_CMFT_Cond2",2011-10-01 12:28:56,27,288.5,"Fix",7500,"NovelFBLA076_T2",2251,3,0
1,102,"AUS_CMFT_Cond2",2011-10-01 12:28:56,27,296,"TestSlide",7500,"NovelFBLA076_T2",2251,3,0
1,102,"AUS_CMFT_Cond2",2011-10-01 12:28:56,28,300.5,"Fix",1500,"Novel60RA011_T1",2271,2,0
1,102,"AUS_CMFT_Cond2",2011-10-01 12:28:56,28,302,"TestSlide",1500,"Novel60RA011_T1",2271,2,0
1,102,"AUS_CMFT_Cond2",2011-10-01 12:28:56,29,306.5,"Fix",3000,"Novel60LA049_T1",3119,2,1
1,102,"AUS_CMFT_Cond2",2011-10-01 12:28:56,29,309.5,"TestSlide",3000,"Novel60LA049_T1",3119,2,1
1,102,"AUS_CMFT_Cond2",2011-10-01 12:28:56,30,314,"Fix",4500,"NovelHLFA004_T3",2554,4,0
1,102,"AUS_CMFT_Cond2",2011-10-01 12:28:56,30,318.5,"TestSlide",4500,"NovelHLFA004_T3",2554,4,0
1,102,"Cars_Cond2",2011-10-01 12:55:19,1,29,"Fix",3000,"5_CI_Side1_Cond2_2_resize",2442,3,1
1,102,"Cars_Cond2",2011-10-01 12:55:19,1,32,"TestSlide",3000,"5_CI_Side1_Cond2_2_resize",2442,3,1
1,102,"Cars_Cond2",2011-10-01 12:55:19,2,36.5,"Fix",3000,"1_ARL_Back_Cond2_3",1530,4,0
1,102,"Cars_Cond2",2011-10-01 12:55:19,2,39.5,"TestSlide",3000,"1_ARL_Back_Cond2_3",1530,4,0
1,102,"Cars_Cond2",2011-10-01 12:55:19,3,44,"Fix",1500,"6_TC_Side1_Cond2_2",2103,3,0
1,102,"Cars_Cond2",2011-10-01 12:55:19,3,45.5,"TestSlide",1500,"6_TC_Side1_Cond2_2",2103,3,0
1,102,"Cars_Cond2",2011-10-01 12:55:19,4,50,"Fix",6000,"2_HC_Front1_Cond2_2",1925,3,1
1,102,"Cars_Cond2",2011-10-01 12:55:19,4,56,"TestSlide",6000,"2_HC_Front1_Cond2_2",1925,3,1
1,102,"Cars_Cond2",2011-10-01 12:55:19,5,60.5,"Fix",4500,"5_CI_Front1_Cond2_1",2111,2,0
1,102,"Cars_Cond2",2011-10-01 12:55:19,5,65,"TestSlide",4500,"5_CI_Front1_Cond2_1",2111,2,0
1,102,"Cars_Cond2",2011-10-01 12:55:19,6,69.5,"Fix",7500,"3_FT_Back_Cond2_3",2129,4,0
1,102,"Cars_Cond2",2011-10-01 12:55:19,6,77,"TestSlide",7500,"3_FT_Back_Cond2_3",2129,4,0
1,102,"Cars_Cond2",2011-10-01 12:55:19,7,81.5,"Fix",3000,"4_KS_Side1_Cond2_3",2400,4,1
1,102,"Cars_Cond2",2011-10-01 12:55:19,7,84.5,"TestSlide",3000,"4_KS_Side1_Cond2_3",2400,4,1
1,102,"Cars_Cond2",2011-10-01 12:55:19,8,89,"Fix",7500,"6_TC_Side2_Cond2_1",2194,2,1
1,102,"Cars_Cond2",2011-10-01 12:55:19,8,96.5,"TestSlide",7500,"6_TC_Side2_Cond2_1",2194,2,1
1,102,"Cars_Cond2",2011-10-01 12:55:19,9,101,"Fix",7500,"1_ARL_Front1_Cond2_3",2708,4,1
1,102,"Cars_Cond2",2011-10-01 12:55:19,9,108.5,"TestSlide",7500,"1_ARL_Front1_Cond2_3",2708,4,1
1,102,"Cars_Cond2",2011-10-01 12:55:19,10,113,"Fix",6000,"2_HC_Front2_Cond2_2",2355,3,0
1,102,"Cars_Cond2",2011-10-01 12:55:19,10,119,"TestSlide",6000,"2_HC_Front2_Cond2_2",2355,3,0
1,102,"Cars_Cond2",2011-10-01 12:55:19,11,123.5,"Fix",1500,"4_KS_Back_Cond2_1",2295,2,0
1,102,"Cars_Cond2",2011-10-01 12:55:19,11,125,"TestSlide",1500,"4_KS_Back_Cond2_1",2295,2,0
1,102,"Cars_Cond2",2011-10-01 12:55:19,12,129.5,"Fix",6000,"3_FT_Side1_Cond2_2",2654,3,0
1,102,"Cars_Cond2",2011-10-01 12:55:19,12,135.5,"TestSlide",6000,"3_FT_Side1_Cond2_2",2654,3,0
1,102,"Cars_Cond2",2011-10-01 12:55:19,13,140,"Fix",3000,"5_CI_Back_Cond2_2",2349,3,1
1,102,"Cars_Cond2",2011-10-01 12:55:19,13,143,"TestSlide",3000,"5_CI_Back_Cond2_2",2349,3,1
1,102,"Cars_Cond2",2011-10-01 12:55:19,14,147.5,"Fix",7500,"1_ARL_Side1_Cond2_2",2038,3,1
1,102,"Cars_Cond2",2011-10-01 12:55:19,14,155,"TestSlide",7500,"1_ARL_Side1_Cond2_2",2038,3,1
1,102,"Cars_Cond2",2011-10-01 12:55:19,15,159.5,"Fix",7500,"6_TC_Front1_Cond2_3",1920,4,1
1,102,"Cars_Cond2",2011-10-01 12:55:19,15,167,"TestSlide",7500,"6_TC_Front1_Cond2_3",1920,4,1
1,102,"Cars_Cond2",2011-10-01 12:55:19,16,171.5,"Fix",3000,"2_HC_Side1_Cond2_1",2200,2,0
1,102,"Cars_Cond2",2011-10-01 12:55:19,16,174.5,"TestSlide",3000,"2_HC_Side1_Cond2_1",2200,2,0
1,102,"Cars_Cond2",2011-10-01 12:55:19,17,179,"Fix",3000,"4_KS_Front1_Cond2_3",1736,4,0
1,102,"Cars_Cond2",2011-10-01 12:55:19,17,182,"TestSlide",3000,"4_KS_Front1_Cond2_3",1736,4,0
1,102,"Cars_Cond2",2011-10-01 12:55:19,18,186.5,"Fix",3000,"5_CI_Front2_Cond2_1",2103,2,0
1,102,"Cars_Cond2",2011-10-01 12:55:19,18,189.5,"TestSlide",3000,"5_CI_Front2_Cond2_1",2103,2,0
1,102,"Cars_Cond2",2011-10-01 12:55:19,19,194,"Fix",7500,"3_FT_Front1_Cond2_1",1881,2,0
1,102,"Cars_Cond2",2011-10-01 12:55:19,19,201.5,"TestSlide",7500,"3_FT_Front1_Cond2_1",1881,2,0
1,102,"Cars_Cond2",2011-10-01 12:55:19,20,206,"Fix",4500,"1_ARL_Side2_Cond2_2",2084,3,0
1,102,"Cars_Cond2",2011-10-01 12:55:19,20,210.5,"TestSlide",4500,"1_ARL_Side2_Cond2_2",2084,3,0
1,102,"Cars_Cond2",2011-10-01 12:55:19,21,215,"Fix",1500,"4_KS_Side2_Cond2_1",1640,2,0
1,102,"Cars_Cond2",2011-10-01 12:55:19,21,216.5,"TestSlide",1500,"4_KS_Side2_Cond2_1",1640,2,0
1,102,"Cars_Cond2",2011-10-01 12:55:19,22,221,"Fix",3000,"6_TC_Front2_Cond2_3",1472,4,1
1,102,"Cars_Cond2",2011-10-01 12:55:19,22,224,"TestSlide",3000,"6_TC_Front2_Cond2_3",1472,4,1
1,102,"Cars_Cond2",2011-10-01 12:55:19,23,228.5,"Fix",7500,"2_HC_Side2_Cond2_3",1794,4,0
1,102,"Cars_Cond2",2011-10-01 12:55:19,23,236,"TestSlide",7500,"2_HC_Side2_Cond2_3",1794,4,0
1,102,"Cars_Cond2",2011-10-01 12:55:19,24,240.5,"Fix",7500,"3_FT_Front2_Cond2_1",1619,2,0
1,102,"Cars_Cond2",2011-10-01 12:55:19,24,248,"TestSlide",7500,"3_FT_Front2_Cond2_1",1619,2,0
1,102,"Cars_Cond2",2011-10-01 12:55:19,25,252.5,"Fix",6000,"6_TC_Back_Cond2_3",2065,4,1
1,102,"Cars_Cond2",2011-10-01 12:55:19,25,258.5,"TestSlide",6000,"6_TC_Back_Cond2_3",2065,4,1
1,102,"Cars_Cond2",2011-10-01 12:55:19,26,263,"Fix",4500,"1_ARL_Front2_Cond2_2",2388,3,1
1,102,"Cars_Cond2",2011-10-01 12:55:19,26,267.5,"TestSlide",4500,"1_ARL_Front2_Cond2_2",2388,3,1
1,102,"Cars_Cond2",2011-10-01 12:55:19,27,272,"Fix",7500,"5_CI_Side2_Cond2_2",2086,3,0
1,102,"Cars_Cond2",2011-10-01 12:55:19,27,279.5,"TestSlide",7500,"5_CI_Side2_Cond2_2",2086,3,0
1,102,"Cars_Cond2",2011-10-01 12:55:19,28,284,"Fix",7500,"4_KS_Front2_Cond2_2",1488,3,1
1,102,"Cars_Cond2",2011-10-01 12:55:19,28,291.5,"TestSlide",7500,"4_KS_Front2_Cond2_2",1488,3,1
1,102,"Cars_Cond2",2011-10-01 12:55:19,29,296,"Fix",7500,"3_FT_Side2_Cond2_3",1418,4,0
1,102,"Cars_Cond2",2011-10-01 12:55:19,29,303.5,"TestSlide",7500,"3_FT_Side2_Cond2_3",1418,4,0
1,102,"Cars_Cond2",2011-10-01 12:55:19,30,308,"Fix",7500,"2_HC_Back_Cond2_2",2484,3,0
1,102,"Cars_Cond2",2011-10-01 12:55:19,30,315.5,"TestSlide",7500,"2_HC_Back_Cond2_2",2484,3,0
1,102,"CMFT_Cond2",2011-10-01 12:42:03,1,29,"Fix",1500,"M_5_Front_Halflit",NA,2,0
1,102,"CMFT_Cond2",2011-10-01 12:42:03,1,30.5,"TestSlide",1500,"M_5_Front_Halflit",NA,2,0
1,102,"CMFT_Cond2",2011-10-01 12:42:03,2,35,"Fix",6000,"N_8_13_R_Pro_dark",2657,3,1
1,102,"CMFT_Cond2",2011-10-01 12:42:03,2,41,"TestSlide",6000,"N_8_13_R_Pro_dark",2657,3,1
1,102,"CMFT_Cond2",2011-10-01 12:42:03,3,45.5,"Fix",1500,"Z_6_23_Pro_L",1909,2,1
1,102,"CMFT_Cond2",2011-10-01 12:42:03,3,47,"TestSlide",1500,"Z_6_23_Pro_L",1909,2,1
1,102,"CMFT_Cond2",2011-10-01 12:42:03,4,51.5,"Fix",7500,"D5_Halflit_Frontal",2519,4,0
1,102,"CMFT_Cond2",2011-10-01 12:42:03,4,59,"TestSlide",7500,"D5_Halflit_Frontal",2519,4,0
1,102,"CMFT_Cond2",2011-10-01 12:42:03,5,63.5,"Fix",7500,"B7_Bottomlit_Frontal",2369,4,1
