file	id	SessionDate	TrialList	CorrectResp1	CorrectResp2	CorrectResp3	BackImage	FrontImage	SideImage	Fixation1	Fixation2	Fixation3	Fixation4	TestBack	TestFront	TestSide	TrialList	TestBack.ACC	TestFront.ACC	TestSide.ACC	TestFront.CRESP	TestSide.CRESP	TrialList.Cycle	Fixation2.Duration	Fixation1.OffsetTime	Fixation2.OffsetTime	Fixation3.OffsetTime	Fixation4.OffsetTime	MemorizeBack.OffsetTime	MemorizeFront.OffsetTime	MemorizeSide.OffsetTime	TestBack.OffsetTime	TestFront.OffsetTime	TestSide.OffsetTime	Fixation1.OnsetTime	Fixation2.OnsetTime	Fixation3.OnsetTime	Fixation4.OnsetTime	MemorizeBack.OnsetTime	MemorizeFront.OnsetTime	MemorizeSide.OnsetTime	TestBack.OnsetTime	TestFront.OnsetTime	TestSide.OnsetTime	TestFront.RESP	TestSide.RESP	TestBack.RT	TestFront.RT	TestSide.RT
../task/Pilot Subs/163_LR/Cars-163-1.txt	163	NA	6	4	2	4	Target6_ToyotaCamry_Back	Target6_ToyotaCamry_Front	Target6_ToyotaCamry_Side	7500	7500	1500	1500	6_TC_Back_Cond1_3	6_TC_Front_Cond1_3	6_TC_Side_Cond1_1	6	1	1	1	4	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	2	1983	3220	3500
1/102/Cars-102-1.txt	102	10-01-2011	1	4	2	2	Target1_AcuraRL_Back	Target1_AcuraRL_Front	Target1_AcuraRL_Side	15000	7500	6000	3000	1_ARL_Back_Cond1_1	1_ARL_Front_Cond1_3	1_ARL_Side_Cond1_1	1	1	1	NA	4	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	3	2095	3200	3287
1/102/Cars-102-1.txt	102	NA	2	2	3	3	Target2_HondaCivic_Back	Target2_HondaCivic_Front	Target2_HondaCivic_Side	3000	7500	4500	6000	2_HC_Back_Cond1_2	2_HC_Front_Cond1_1	2_HC_Side_Cond1_2	2	1	NA	NA	2	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	4	2243	2418	2460
1/102/Cars-102-1.txt	102	NA	3	3	4	4	Target3_FordTaurus_Back	Target3_FordTaurus_Front	Target3_FordTaurus_Side	3000	4500	7500	7500	3_FT_Back_Cond1_3	3_FT_Front_Cond1_2	3_FT_Side_Cond1_3	3	1	NA	NA	3	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2451	2223	3441
1/102/Cars-102-1.txt	102	NA	4	2	4	2	Target4_KiaSpectra_Back	Target4_KiaSpectra_Front	Target4_KiaSpectra_Side	7500	7500	1500	7500	4_KS_Back_Cond1_1	4_KS_Front_Cond1_1	4_KS_Side_Cond1_3	4	NA	NA	NA	2	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	3	1230	2743	2692
1/102/Cars-102-1.txt	102	NA	5	3	3	4	Target5_ChevyImpala_Back	Target5_ChevyImpala_Front	Target5_ChevyImpala_Side	1500	3000	1500	6000	5_CI_Back_Cond1_3	5_CI_Front_Cond1_2	5_CI_Side_Cond1_2	5	NA	NA	NA	3	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	4	2302	2859	2232
1/102/Cars-102-1.txt	102	NA	6	4	2	4	Target6_ToyotaCamry_Back	Target6_ToyotaCamry_Front	Target6_ToyotaCamry_Side	7500	7500	1500	1500	6_TC_Back_Cond1_3	6_TC_Front_Cond1_3	6_TC_Side_Cond1_1	6	NA	NA	NA	4	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	4	2444	1715	2935
1/103/Cars-103-1.txt	103	05-04-2011	1	4	2	2	Target1_AcuraRL_Back	Target1_AcuraRL_Front	Target1_AcuraRL_Side	15000	7500	6000	3000	1_ARL_Back_Cond1_1	1_ARL_Front_Cond1_3	1_ARL_Side_Cond1_1	1	NA	1	NA	4	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	3	2465	1368	4610
1/103/Cars-103-1.txt	103	NA	2	2	3	3	Target2_HondaCivic_Back	Target2_HondaCivic_Front	Target2_HondaCivic_Side	3000	7500	4500	6000	2_HC_Back_Cond1_2	2_HC_Front_Cond1_1	2_HC_Side_Cond1_2	2	1	1	1	2	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	3	2668	2636	2762
1/103/Cars-103-1.txt	103	NA	3	3	4	4	Target3_FordTaurus_Back	Target3_FordTaurus_Front	Target3_FordTaurus_Side	3000	4500	7500	7500	3_FT_Back_Cond1_3	3_FT_Front_Cond1_2	3_FT_Side_Cond1_3	3	1	1	1	3	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	4	1949	2001	2718
1/103/Cars-103-1.txt	103	NA	4	2	4	2	Target4_KiaSpectra_Back	Target4_KiaSpectra_Front	Target4_KiaSpectra_Side	7500	7500	1500	7500	4_KS_Back_Cond1_1	4_KS_Front_Cond1_1	4_KS_Side_Cond1_3	4	1	1	1	2	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	4	3056	4157	3036
1/103/Cars-103-1.txt	103	NA	5	3	3	4	Target5_ChevyImpala_Back	Target5_ChevyImpala_Front	Target5_ChevyImpala_Side	1500	3000	1500	6000	5_CI_Back_Cond1_3	5_CI_Front_Cond1_2	5_CI_Side_Cond1_2	5	1	NA	1	3	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	3	2780	1636	3845
1/103/Cars-103-1.txt	103	NA	6	4	2	4	Target6_ToyotaCamry_Back	Target6_ToyotaCamry_Front	Target6_ToyotaCamry_Side	7500	7500	1500	1500	6_TC_Back_Cond1_3	6_TC_Front_Cond1_3	6_TC_Side_Cond1_1	6	1	1	1	4	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	2	1833	3481	3374
1/104/Cars-104-1.txt	104	05-04-2011	1	4	2	2	Target1_AcuraRL_Back	Target1_AcuraRL_Front	Target1_AcuraRL_Side	15000	7500	6000	3000	1_ARL_Back_Cond1_1	1_ARL_Front_Cond1_3	1_ARL_Side_Cond1_1	1	NA	NA	NA	4	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	3	4091	1535	4830
1/104/Cars-104-1.txt	104	NA	2	2	3	3	Target2_HondaCivic_Back	Target2_HondaCivic_Front	Target2_HondaCivic_Side	3000	7500	4500	6000	2_HC_Back_Cond1_2	2_HC_Front_Cond1_1	2_HC_Side_Cond1_2	2	1	NA	1	2	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	3	1613	1634	1965
1/104/Cars-104-1.txt	104	NA	3	3	4	4	Target3_FordTaurus_Back	Target3_FordTaurus_Front	Target3_FordTaurus_Side	3000	4500	7500	7500	3_FT_Back_Cond1_3	3_FT_Front_Cond1_2	3_FT_Side_Cond1_3	3	1	1	NA	3	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	2	2296	2489	3424
1/104/Cars-104-1.txt	104	NA	4	2	4	2	Target4_KiaSpectra_Back	Target4_KiaSpectra_Front	Target4_KiaSpectra_Side	7500	7500	1500	7500	4_KS_Back_Cond1_1	4_KS_Front_Cond1_1	4_KS_Side_Cond1_3	4	1	1	NA	2	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	3	1947	3322	3047
1/104/Cars-104-1.txt	104	NA	5	3	3	4	Target5_ChevyImpala_Back	Target5_ChevyImpala_Front	Target5_ChevyImpala_Side	1500	3000	1500	6000	5_CI_Back_Cond1_3	5_CI_Front_Cond1_2	5_CI_Side_Cond1_2	5	1	1	1	3	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	3	2692	2258	2696
1/104/Cars-104-1.txt	104	NA	6	4	2	4	Target6_ToyotaCamry_Back	Target6_ToyotaCamry_Front	Target6_ToyotaCamry_Side	7500	7500	1500	1500	6_TC_Back_Cond1_3	6_TC_Front_Cond1_3	6_TC_Side_Cond1_1	6	1	1	1	4	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	2	3342	2533	3787
1/105/Cars-105-1.txt	105	06-29-2011	1	4	2	2	Target1_AcuraRL_Back	Target1_AcuraRL_Front	Target1_AcuraRL_Side	15000	7500	6000	3000	1_ARL_Back_Cond1_1	1_ARL_Front_Cond1_3	1_ARL_Side_Cond1_1	1	NA	NA	1	4	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2910	4961	3709
1/105/Cars-105-1.txt	105	NA	2	2	3	3	Target2_HondaCivic_Back	Target2_HondaCivic_Front	Target2_HondaCivic_Side	3000	7500	4500	6000	2_HC_Back_Cond1_2	2_HC_Front_Cond1_1	2_HC_Side_Cond1_2	2	1	1	1	2	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	3	2534	3997	3218
1/105/Cars-105-1.txt	105	NA	3	3	4	4	Target3_FordTaurus_Back	Target3_FordTaurus_Front	Target3_FordTaurus_Side	3000	4500	7500	7500	3_FT_Back_Cond1_3	3_FT_Front_Cond1_2	3_FT_Side_Cond1_3	3	1	1	1	3	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	4	1888	2869	2187
1/105/Cars-105-1.txt	105	NA	4	2	4	2	Target4_KiaSpectra_Back	Target4_KiaSpectra_Front	Target4_KiaSpectra_Side	7500	7500	1500	7500	4_KS_Back_Cond1_1	4_KS_Front_Cond1_1	4_KS_Side_Cond1_3	4	NA	1	NA	2	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2929	2506	3263
1/105/Cars-105-1.txt	105	NA	5	3	3	4	Target5_ChevyImpala_Back	Target5_ChevyImpala_Front	Target5_ChevyImpala_Side	1500	3000	1500	6000	5_CI_Back_Cond1_3	5_CI_Front_Cond1_2	5_CI_Side_Cond1_2	5	1	1	1	3	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	3	2501	2451	2363
1/105/Cars-105-1.txt	105	NA	6	4	2	4	Target6_ToyotaCamry_Back	Target6_ToyotaCamry_Front	Target6_ToyotaCamry_Side	7500	7500	1500	1500	6_TC_Back_Cond1_3	6_TC_Front_Cond1_3	6_TC_Side_Cond1_1	6	1	1	1	4	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	2	2629	1845	2695
1/109/Cars-109-1.txt	109	04-18-2011	1	4	2	2	Target1_AcuraRL_Back	Target1_AcuraRL_Front	Target1_AcuraRL_Side	15000	7500	6000	3000	1_ARL_Back_Cond1_1	1_ARL_Front_Cond1_3	1_ARL_Side_Cond1_1	1	NA	1	NA	4	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	3	1390	4485	4751
1/109/Cars-109-1.txt	109	NA	2	2	3	3	Target2_HondaCivic_Back	Target2_HondaCivic_Front	Target2_HondaCivic_Side	3000	7500	4500	6000	2_HC_Back_Cond1_2	2_HC_Front_Cond1_1	2_HC_Side_Cond1_2	2	1	1	1	2	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	3	3127	1981	2211
1/109/Cars-109-1.txt	109	NA	3	3	4	4	Target3_FordTaurus_Back	Target3_FordTaurus_Front	Target3_FordTaurus_Side	3000	4500	7500	7500	3_FT_Back_Cond1_3	3_FT_Front_Cond1_2	3_FT_Side_Cond1_3	3	1	1	1	3	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	4	2558	2466	3931
1/109/Cars-109-1.txt	109	NA	4	2	4	2	Target4_KiaSpectra_Back	Target4_KiaSpectra_Front	Target4_KiaSpectra_Side	7500	7500	1500	7500	4_KS_Back_Cond1_1	4_KS_Front_Cond1_1	4_KS_Side_Cond1_3	4	1	NA	1	2	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	4	3426	4327	1866
1/109/Cars-109-1.txt	109	NA	5	3	3	4	Target5_ChevyImpala_Back	Target5_ChevyImpala_Front	Target5_ChevyImpala_Side	1500	3000	1500	6000	5_CI_Back_Cond1_3	5_CI_Front_Cond1_2	5_CI_Side_Cond1_2	5	1	NA	1	3	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	2737	NA	2023
1/109/Cars-109-1.txt	109	NA	6	4	2	4	Target6_ToyotaCamry_Back	Target6_ToyotaCamry_Front	Target6_ToyotaCamry_Side	7500	7500	1500	1500	6_TC_Back_Cond1_3	6_TC_Front_Cond1_3	6_TC_Side_Cond1_1	6	NA	1	NA	4	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	2530	2260	NA
